Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent
Netherlands,73.75,35.18,55.3,55.87,80.48,90.73,Europe
New Zealand,72.53,32.09,53.19,64.69,68.8,92.66,Oceania
Nicaragua,44.56,7.61,26.88,41.71,31.41,23.92,North America
Nigeria,31,23.59,27.45,31.15,17.71,13.52,Africa
North Macedonia,31.59,6.49,19.58,24.94,23.31,37.15,Europe
Norway,101.43,36.15,70.21,91.14,109.28,88.38,Europe
Oman,49.28,17.98,34.31,43.5,44.26,80.97,Asia
Pakistan,21.98,4.59,13.66,19.08,16.78,30.57,Asia
Palestine,54.54,8.83,32.68,46.67,38.93,46.91,Asia
Panama,54.16,24.76,40.09,53.03,47.27,34.23,North America
Paraguay,31.1,9.66,20.85,25.03,25.01,32.6,South America
Peru,38.65,12.78,26.28,33.8,24.69,33.95,South America
Philippines,37.63,9,23.94,33.46,20.84,23.48,Asia
Poland,40.04,15.67,28.38,30.55,33.45,59.61,Europe
Portugal,49.52,21.81,36.27,38.14,42.48,49.43,Europe
Puerto Rico,67.54,19.29,44.46,65.76,58.68,79.38,North America
Qatar,64.04,47.44,56.1,53.61,66.83,111.69,Asia
Romania,35.31,10.05,23.22,29.03,30.5,48.86,Europe
Russia,39.21,11.36,25.89,31.08,39.61,38.94,Europe
Rwanda,33.35,11.88,23.08,26.83,29.17,19.32,Africa
Saudi Arabia,48.34,11.39,30.67,37.89,33.51,100,Asia
Serbia,35.72,9.08,22.98,25.46,28.63,36.72,Europe
Seychelles,71.59,32.34,52.81,64.61,84.86,21.67,Africa
Singapore,81.1,63.27,72.58,66.75,58.99,88.96,Asia
Slovakia,44.46,16.11,30.9,37.51,33.82,56.94,Europe
Slovenia,53.43,17.09,36.05,43.76,45.43,66.31,Europe
Somalia,38.68,4.75,22.45,45.88,27.04,33.24,Africa
South Africa,42.87,16.61,30.31,33.29,40.58,73.61,Africa
South Korea,78.18,22.86,51.72,91.31,44.87,85.21,Asia
Spain,53.77,21.77,38.46,42.38,52.07,72.03,Europe
Sri Lanka,31.61,7.74,20.2,35.09,18.76,24.45,Asia
Suriname,43.14,7.79,26.23,45.78,34.98,22.39,South America
Sweden,69.85,25.9,48.83,60.47,72.35,101.73,Europe
Switzerland,122.4,50.25,87.89,120.27,123.01,119.53,Europe
Syria,25.31,5.68,15.92,22.42,21.38,11.46,Asia
Taiwan,61.37,16.42,39.87,71.51,28.49,65.67,Asia
Tanzania,35.25,14.04,25.11,29.66,22.57,17.58,Africa
Thailand,49.77,17.1,34.14,49.2,24.9,35.45,Asia
Trinidad And Tobago,53.7,17.26,36.27,49.43,49.83,45.7,North America
Tunisia,27.04,5.51,16.74,25.25,14.95,34.45,Africa
Turkey,34.69,6.78,21.34,29.76,24.16,40.85,Asia
Uganda,30.18,10.15,20.6,25.25,22.14,20.5,Africa
Ukraine,33.18,10.46,22.31,26.01,26.42,31.8,Europe
United Arab Emirates,61.98,41.07,51.98,47.63,61.32,91.58,Asia
United Kingdom,67.28,29.85,49.38,51.27,74.13,91.73,Europe
United States of America,71.05,40.32,56.36,66.61,70.74,109.52,North America
Uruguay,51.04,14.43,33.53,40.12,47.41,37.46,South America
Uzbekistan,26.01,7.54,17.18,21.59,20.17,24.31,Asia
Venezuela,27.17,6.81,17.43,28.29,24.41,2.61,South America
Vietnam,38.34,13.57,26.5,37.06,19.59,28.14,Asia
Zambia,31.72,7.39,20.08,26.86,22.07,54.14,Africa
Zimbabwe,55.3,11.02,34.12,50.8,40.79,26.03,Africa
